,Date,Category,Abuse,Details
0,11/19/24,Denial of Care,UHG denied mental health care to patients,AProPublicainvestigationfound that UHG continues to use an algorithm to deny care to patients and payment to providers whom it deemed were receiving or providing too much therapy –– even after three states had deemed the algorithm program illegal.
1,11/11/24,Denial of Care,"UHG denied care to Medicare Advantage patients, prompting exodus to traditional Medicare","AWall Street Journalinvestigationfound that people in the final year of their lives –– motivated by frequent care denials amid increasing health needs –– left Medicare Advantage for traditional Medicare at double the rate of other enrollees between 2016 and 2022, shifting costs from private plans to the federal government. UHG, as the largest enroller of Medicare Advantage beneficiaries, cost Medicare an additional $1.5 billion during that period, more than any other insurer."
2,10/21/24,Upcoding and Overbilling,UHG’s dubious health risk assessments continue to inflate Medicare Advantage payments,"Afederal watchdog reportfound that UHG received more than $3.7 billion from Medicare in 2023 for in-home visits that resulted in diagnoses but no follow-up treatment, more than twice as much as any other Medicare Advantage insurer."
3,9/20/24,Anticompetitive Steering of Patients and Providers,"FTC sues “Big Three” PBMs, including UHG’s OptumRx, for inflating insulin prices","The Federal Trade CommissionsuedOptumRx, along with CVS Caremark and Express Scripts, for allegedly engaging in anticompetitive and illegal rebating practices that inflate the list price of brand-name insulin drugs and impede patient access to cheaper generic alternatives. FTC Bureau of Competition Deputy Director Rahul Raosaidthe suit is a preliminary step toward “fixing a broken system – a fix that could ripple beyond the insulin market and restore health competition to drive down drug prices for consumers.”"
4,9/19/24,Corrupt Practices,UHG’s Optum continues mass layoffs,"OptumCare, amanagement services organizationheadquartered in Baskin Ridge, New Jersey, posted a notice that it plans to lay off 160 employees in December 2024 and January 2025. The notice followsseveral roundsof Optum layoffs and clinic closures around the country. An administrative sourcetoldtheExaminer News, which covers New York’s Hudson Valley, that Optum acquired too many medical practices too fast, leading to the layoffs."
5,9/18/24,Corrupt Practices,UHG settles employee retirement plan class-action lawsuit,"UHG agreed to a tentativesettlementto resolve a class-action lawsuit alleging that the conglomerate had mismanaged its employee retirement plan to preserve abusiness relationshipwith Wells Fargo, “a critical customer and financier” for UHG."
6,7/25/24,Anticompetitive Steering of Patients and Providers,UHG abandons proposed acquisitions of nine-state physician network Stewardship Health and a related company,"Followingintense scrutinyfrom the Department of Justice (DOJ) Antitrust Division, UnitedHealth Group abandoned its proposed acquisitions, which had sparked concerns of worsening care quality, rising costs, and deteriorating working conditions."
7,6/27/24,Corrupt Practices,UHG’s OptumRx agrees to pay $20 million for improperly filling opioid subscriptions,"UnitedHealthGroup’s subsidiary OptumRx – its PBM –settledwith the Department of Justice to resolve allegations that it improperly filled opioid prescriptions in combination with other drugs, despite red flags, between April 2013 and April 2015."
8,6/6/24,Corrupt Practices,UHG executives reportedly sold $17.7 million of company stock amid Change Healthcare cyberattack,"Five UHG executives, including CEO Andrew Witty, unloaded company stock on thesame dayas the cyberattack, according to disclosures."
9,4/11/24,Corrupt Practices,UHG executives reportedly sold stock before DOJ antitrust investigation became public,"Bloombergreported that UnitedHealth Group’s chairman and three executives sold $101.5 million of company stock between Oct. 16, 2023, afterreportedlylearning of the DOJinvestigation, and Feb. 26, 2024, when the probe became public."
10,3/22/24,Patient Privacy Violation,UHG uses patients’ claims data to target loans to providers,"UnitedHealth Group is accused of using its proprietary insurance claims data about medical practices toflag prospective borrowersfor Optum Bank, potentially in violation of privacy and lending laws. The Department of Justice (DOJ) previously sued UHG for misusing claims data in 2022."
11,3/18/24,Upcoding and Overbilling,UHG whistleblower alleges that Optum Tri-State/Optum East – a subsidiary of UHG – overbills the federal government by overdiagnosing patients,"According to the whistleblower, Optum executives met to “counsel nurses on how to incorporate additional medical conditions – and thus additional billing codes – from existing data on patient charts.” This wouldfalselymake their patients look sicker than they are so that UHG would be paid more to cover them by the federal government."
12,3/15/24,Anticompetitive Steering of Patients and Providers,UHG’s 2023 financials reveal the company skirting federal regulations requiring spending on patient care by shifting money between divisions of the company,"The Medical Loss Ratio (MLR) is a condition under the Affordable Care Act that requires health insurers to spend 80-85 percent of their revenue on medical services. In an effort tofuel earningsandavoid the MLR requirement, UHG has increased “intercompany eliminations” – also known as redirecting money from one part of the company to another – from UnitedHealthcare to Optum to retain profit-capped insurance revenue."
